UUID;NAME;BRAND;STREET;HOUSE_NUMBER;POST_CODE;CITY;LATITUDE;LONGITUDE
00817d75-635d-4f2a-a556-4135ef42666e;Blümel;Shell;ST. ILGENER STR. 1;10;69181;LEIMEN;49.348.434;8.688.446
44235fed-c890-4450-8443-df853efc808a;WIESLOCH\, BAIERTALER STR.18;Shell;BAIERTALER STR. 18;;69168;Wiesloch;49.296.599;8.706.676
50be3d84-6175-4704-9008-d5183417aa6e;WIESLOCH\, AM SCHWIMMBAD 32.;Shell;AM SCHWIMMBAD 32;;69168;Wiesloch;49.288.556;8.680.291
59f457f8-49f1-418d-8a17-b4d78cb98794;EBERBACH\, FRIEDRICH-EBERT-STR;Shell;FRIEDRICH-EBERT-STR. 39;;69412;EBERBACH;49.465.979;8.978.889
5fbe5cd3-60f4-45dc-be08-8f6b59b761d1;NECKARGEMUEND\, BAHNHOFSTR;Shell;BAHNHOFSTR. 70 B;;69151;NECKARGEMUEND;49.394.088;8.786.206
605b79e9-ba8f-4c3c-a26b-e09ebb99a222;WEINHEIM\, MANNHEIMER STR;Shell;MANNHEIMER STR. 84;;69469;WEINHEIM;49.549.632;8.655.579
80495e13-ae56-427c-83fd-3001799da3ae;SINSHEIM\, DUEHRENER STR;Shell;DUEHRENER STR. 28;;74889;SINSHEIM;49.250.943;8.867.961
10d13975-7819-4c49-86be-3465bfdc59f9;HEDDESHEIM\, VIERNHEIMER STR;Shell;VIERNHEIMER STR. 24;;68542;Heddesheim;49.508.488;859.823
7f1db114-6a5d-416a-ad9b-f6136ecbde58;EPPELHEIM\, HANDELSSTR.;Shell;HANDELSSTR. 6/1;;69214;EPPELHEIM;49.409.102;8.628.285
30b4a1d1-1c63-43d8-ac08-2882abf72efa;SINSHEIM KRAICHGAU NORD;Shell;A6 SCHWARZWALDSTR 5;;74889;KRAICHGAU;49.243.438;8.881.664
e9b9b8b5-2884-4d6c-8994-12b0140c5ec6;HOCKENHEIMRING WEST.;Shell;BAB 6;;68766;HOCKENHEIMRING WEST;49.321.806;8.567.403
2c596a3b-5bb9-46a4-b573-6912eee60895;Hockenheim\, Schwetzinger Str.;SB;Schwetzinger Str. 55;;68766;Hockenheim;4.932.575;8.546.371
51d4b48d-a095-1aa0-e100-80009459e03a;JET DOSSENHEIM BERGSTR. 31;JET;BERGSTR. 31;;69221;DOSSENHEIM;4.945.155;866.712
51d4b5da-a095-1aa0-e100-80009459e03a;JET SINSHEIM NEULANDSTR. 35;JET;NEULANDSTR. 35;;74889;SINSHEIM;4.924.324;889.092
51d4b6da-a095-1aa0-e100-80009459e03a;JET WEINHEIM GRUNDELBACHSTR. 16-18;JET;GRUNDELBACHSTR. 16-18;;69469;WEINHEIM;4.954.738;867.478
51d4b6f5-a095-1aa0-e100-80009459e03a;JET WEINHEIM PAPPELALLEE 26;JET;PAPPELALLEE 26;;69469;WEINHEIM;495.476;863.926
59740a7b-415e-4891-9788-03c3b29a24b0;OIL! Tankstelle St. Leon-Rot;OIL!;Bahnhofstr. 45;;68789;St. Leon-Rot;492.598;863.757
8d52c207-dd28-4c47-83f0-2ab1c51135aa;TOTAL WIESLOCH;TOTAL;SCHATTHAEUSER STR.;;69168;WIESLOCH;49.303.295;873.808
9706790d-b179-426b-99ea-2d7346241ca9;OIL! Tankstelle Walldorf / Bad;OIL!;Hauptstr. 54 C;;69190;Walldorf / Bad;493.019;863.625
cd8b8686-34ef-1ee7-8287-0da8d20c0016;JET EBERBACH NEUER WEG 26;JET;NEUER WEG 26;;69412;EBERBACH;4.947.006.675;898.419.312
cd8b8686-41dc-1ed4-bd86-5c67cfd804c7;JET LEIMEN IM HAGEN 2;JET;IM HAGEN 2;;69181;LEIMEN;49.354.684;8.679.659
cd8ba6a6-0cee-1ee6-a9bf-d794ad894588;JET LADENBURG WALLSTADTER STR. 67 B;JET;WALLSTADTER STR. 67 B;;68526;LADENBURG;4.948.134.511;86.014.956
ffdf8d91-91c3-4ac9-bda1-5751af2bc5a1;Hemsbach\, Huettenfelder Straße 51;SB;Huettenfelder Straße 51;;69502;Hemsbach;495.927;863.868
51d4b5af-a095-1aa0-e100-80009459e03a;JET NECKARGEMUEND NECKARSTEINACHER STR. 52;JET;NECKARSTEINACHER STR. 52;;69151;NECKARGEMUEND;4.939.523;880.682
0e5f8257-c5e6-44f2-8d7f-4ba90f7b9646;Aral Tankstelle;ARAL;Römerstraße;1;69198;Schriesheim;494.749.374;8.658.518
64b73478-c9fc-4829-a895-84840c02549a;Aral Tankstelle;ARAL;Mannheimer Straße;1;68766;Hockenheim;4.933.046;8.536.052
7859c737-7ba0-4506-9ebd-867609d63371;Aral Tankstelle;ARAL;Hockenheimer Landstraße;4;68723;Schwetzingen;493.771.057;8.560.663
7f3ceea1-1ee8-49d8-996d-632106b036d7;Aral Tankstelle;ARAL;Zuzenhaeuser Straße;2;74909;Meckesheim;493.198.624;8.814.378
ff803794-d883-4034-a70f-b4327686ce29;Lenz;Lenz;Friedrichsdorfer Landstra;;69412;Eberbach;494.705.353;8.994.548
1507cfcb-802b-4e55-a617-888c6c32df1a;Aral Tankstelle;ARAL;Neckarsteinacher Str.;42;69250;Schönau;494.299.927;8.812.239
542f5d00-8790-4f52-a1cb-8780ad9da906;Aral Tankstelle;ARAL;Neues Sträßel;4;69168;Wiesloch;4.928.953;8.678.427
66f17d7a-2572-4c7a-81a3-91da096629cd;Aral Tankstelle;ARAL;Schwetzinger Straße;4;69214;Eppelheim;4.939.913;8.624.707
6ab35990-2e29-4b80-9dca-985d59bc6e91;Aral Tankstelle;ARAL;Hauptstraße;10;69226;Nußloch;493.293;8.693.337
c0bc562d-d77f-440e-9182-57654145275c;Aral Tankstelle;ARAL;Heidelberger Straße;9;69207;Sandhausen;493.459.167;8.660.079
25cb4f27-48de-4aa1-829a-d362215fcc3c;Aral Tankstelle;ARAL;Trautenfeldstraße;38;68535;Edingen-Neckarhausen;494.452.858;858.033
018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;Aral Tankstelle;ARAL;Hauptstraße;166;69242;Mühlhausen;4.924.805;8.735.546
ca07f7ed-852e-40ec-b333-3e60ad779a26;Aral Tankstelle;ARAL;Mannheimerstraße;77;69469;Weinheim;49.549.427;8.654.739
fa7c49f7-e4b5-4714-8446-6441d18b1649;Aral Tankstelle\, BAT AM HOCKENHEIMRING OST;ARAL;A;6;68766;Hockenheim;4.931.526;857.763
06e5e50a-3cd9-4420-ae63-c76ff3ed9a5c;Esso Tankstelle;ESSO;WIESLOCHER STR. 38; ;69231;RAUENBERG;49.269.391;870.175
0c7e5731-68c4-49f9-bcbc-87dbaa191294;Esso Tankstelle;ESSO;BRUCHSALER STR. 5; ;74918;ANGELBACHTAL;49.232.867;8.770.117
2cb6f4b8-1ba6-448f-8c5c-8efb78e8b428;Esso Tankstelle;ESSO;HAUPTSTR. 145; ;68799;REILINGEN;49.291.956;8.566.597
