UUID;NAME;BRAND;STREET;HOUSE_NUMBER;POST_CODE;CITY;LATITUDE;LONGITUDE
4e4f2acc-722d-4eb6-a71d-5c17bc5d5fe3;Esso Tankstelle;ESSO;MECKESHEIMER STR. 5; ;74939;ZUZENHAUSEN;49.296.586;8.822.599
6fcfa892-89ff-4f61-a072-2fe0442108aa;Esso Tankstelle;ESSO;MESSPLATZSTR. 23; ;69168;WIESLOCH;4.929.177;870.202
7d2a95fd-159f-497d-aafa-629acd6418b3;Esso Tankstelle;ESSO;SUEDLICHE BERGSTR. 3; ;69469;WEINHEIM;49.527.117;8.656.982
8fb0edc4-b222-45a4-a886-efb3a867092a;Esso Tankstelle;ESSO;BUNDESSTR. 45; ;69243;BAMMENTAL;49.359.011;8.796.573
9ae199a8-5938-4a26-b7b5-d24b97554ec7;Esso Tankstelle;ESSO;HAUPTSTR. 103; ;74915;WAIBSTADT;49.291.804;891.789
a85d3547-c83c-496b-aef7-039251357ea2;Esso Tankstelle;ESSO;EPPELHEIMER STR. 41; ;68723;PLANKSTADT;49.394.307;8.601.152
c1a08069-b2c6-462f-848e-8667620228b3;Esso Tankstelle;ESSO;MASSENGASSE 34; ;69226;NUSSLOCH;49.326.331;8.687.973
c9f44d03-5ead-4337-9c41-5b2f253f3b7d;Esso Tankstelle;ESSO;MANNHEIMER STR. 103; ;68782;BRUEHL;4.940.274.119;8.538.154.812
d4b58766-1aa5-49f3-98c9-95d739119610;Esso Tankstelle;ESSO;SCHWARZWALDSTR. 5; ;74889;SINSHEIM;4.924.267;8.88
bf01655f-fc7b-4273-a38b-27179efe1364;Esso Tankstelle;ESSO;BAB A5 / HARDTWALD WEST; ;69207;SANDHAUSEN / BADEN;493.508.788;86.305.951
42783c8c-3600-4780-9376-493d145c2b7d;Esso Tankstelle;ESSO;SCHWETZINGER STR. 12; ;69181;LEIMEN;49.351.651;8.686.291
790b2290-1494-46f4-9416-8e631ac07cea;Esso Tankstelle;ESSO;BAB A5 / HARDTWALD OST; ;69207;SANDHAUSEN;49.349.197;8.631.933
0e64e4c6-3d58-44d4-bbe5-377a5a0db2f2;TOTAL NEULUSSHEIM;TOTAL;ALTLUSSHEIMER STR.;54;68809;NEULUSSHEIM;49.294.434;851.686
17841c66-b61d-444a-8618-a551734246b6;Regie-Tankstelle Schwetzingen;AVIA;Mannheimer Landstr.;2;68723;Schwetzingen;493.923;8.565
41ac35b6-496d-41ba-bc01-17573fc55bb1;TOTAL WIESLOCH;TOTAL;HAUPTSTR.;180;69168;WIESLOCH;49.283.478;8.686.314
9ea1b621-8932-4b5c-9003-8302360d9392;Kira Haubenthal;AVIA;Heidenaeckerstr.;36;69207;Sandhausen;493.511;86.587
c9c0ebcc-5e86-4e4c-8d59-f985c9b2121c;TOTAL WALLDORF;TOTAL;BAHNHOFSTR.;35;69190;WALLDORF;4.930.046;8.645.012
ce8820a8-1968-404c-9072-fd3a32d7c61d;TOTAL HIRSCHBERG;TOTAL;GOLDBECKSTR.;1;69493;HIRSCHBERG;49.507.397;8.636.922
dd837856-7420-45c0-b429-93305072c162;TOTAL KETSCH;TOTAL;HOCKENHEIMER STR.;108;68775;KETSCH;4.936.043;8.526.936
f39807e8-d787-490c-ac14-0dbd11054592;AVIA Station;AVIA;Neulandstraße;38;74889;Sinsheim;49.242.027;8.893.234
fbfc6d73-6433-4e64-90ba-c94aa632aac3;TOTAL NECKARBISCHOFSHEIM;TOTAL;WAIBSTAEDTER STR.;35;74924;NECKARBISCHOFSHEIM;4.929.579;895.444
fc6f7961-8eeb-43e6-9c40-44e7a285f179;Andreas Wolf;AVIA;Odenwaldring;1;68723;Schwetzingen;493.798;858.478
7bbb852b-e04e-48db-a1ee-8835cdbb9757;AVIA Tankstelle;AVIA;Hauptstraße;155;69242;Mühlhausen;492.482;8.735.032
1bcc4077-99e8-473e-adbb-5f1745b1c614;Volker Lautensack;AVIA;Brückenstr.;3;68549;Ilvesheim;494.697;856.625
5e28f91d-e2ff-445a-9e47-2c182a6861ad;AVIA Station;AVIA;Eichtersheimer Straße;29;74889;Sinsheim-Eschelbach;4.924.643;8.780.014
811e2baf-1250-474b-b411-ad15e5bf8056;Harald Dietz;AVIA;Bergstr.;3;69493;Hirschberg-Leutershausen;494.955;865.618
938c082c-e2c6-4292-8b2c-cdf83036e555;Matthias Belschner;AVIA;Wieslocher Str.;30;69190;Walldorf;492.937;865.537
dbab9e35-7e49-484d-a8c9-4324eceee612;Gerhard Elfner;AVIA;Johann-Wilhelm-Str.;128;69259;Wilhelmsfeld;494.706;875.419
e1c5ee7a-274b-4005-ba0b-749d5478e9d1;AVIA Station;AVIA;Sinsheimer Straße;42;74889;Sinsheim-Hoffenheim;49.268.433;8.842.881
e1e4230d-98d0-433b-ad28-bf673862592f;AVIA Station;AVIA;Karlsruher Straße;95;74889;Sinsheim-Dühren;4.924.307;8.826.669
252c6f28-9529-47c8-871e-6755a832b20f;Kraichgau Raiffeisen Zentrum eG;Raiffeisen;Neulandstr.;3;74889;Sinsheim;492.491;887.778
2fe97ca1-df43-45f1-a859-052cae5bdba7;BETRIEBSTANKSTELLE;Agip;Am Hockenheimring\, Fahrerlager;3;68766;Hockenheim;4.932.858;85.663
11751341-2a8d-4408-af81-a4a01e054314;bft-Tankstelle Seitz;BFT;Mannheimer Str.;27;68535;Edingen-Neckarhausen;49.449.867;8.607.568
292d33c7-5c95-4bcd-818d-e47b1096d2de;Schwetzingen Mannheimer Strasse 131;OMV;Mannheimer Strasse;131;68723;Schwetzingen;4.939.214;856.455
63b7f9e0-8cd0-4016-baa6-9d7d77328070;NECKARGEMUEND - NECKARSTEINACHER S;Agip;Neckarsteinacher Str.;21;69151;Neckargemuend;4.939.667;880.154
65ea960d-1cc4-45f3-8daa-2e77e2dd7d0a;Weinheim\, Bergstr. 197;HEM;Bergstr.;197;69469;Weinheim;49.566.013;8.663.726
a751c854-6c34-4412-93c8-4207da7848c2;HEMSBACH - HUETTENFELDER STR. 46;Agip;Huettenfelder Str.;46;69502;Hemsbach;49.593.016.228.151;8.639.710.609.441
b1f8836b-5ea2-460d-b4bc-b3804d4b0ad1;Brühl Mannheimer Strasse 78 A;OMV;Mannheimer Str.;78 a;68782;Brühl;4.940.219;853.787
c080d550-c6ce-46d2-bc99-af48136c3ada;WIESLOCH - SCHWETZINGER STR. 125;Agip;Schwetzinger Str.;125;69168;Wiesloch;49.291.425;868.419
e1a15081-2587-9107-e040-0b0a3dfe563c;Sinsheim\, Steinsfurter Str. 75;HEM;Steinsfurter Str.;75;74889;Sinsheim;49.241.737;8.906.594
e1a15081-2589-9107-e040-0b0a3dfe563c;Rauenberg\, Langwiesen 2;HEM;Langwiesen;2;69231;Rauenberg;4.927.492;8.701.605
e1a15081-25b5-9107-e040-0b0a3dfe563c;Hockenheim\, Heinrich-von-Kleist-Str. 16;HEM;Heinrich-von-Kleist-Str.;16;68766;Hockenheim;49.311.466;8.556.791
b9cb10b1-45fb-48e2-b221-77867fb45e70;bft-Tankstelle;BFT;Hauptstr. ;92;69514;Laudenbach;496.131.362;86.530.311
cc84413e-4269-407b-9cf8-27be0ee31b68;bft Hirschberg;bft;Hohensachsener Str.;1;69493;Hirschberg;495.147;865.682
dea7c427-409d-48a6-92d0-35bdae436f47;Alessandro Di Napoli;bft;Hüttenfelder Str.;48;69502;Hemsbach;495.933;8.638
f22d7b41-6e93-4cf3-9482-b071aadb6918;Auto-Bender GmbH;bft;Etzwiesenstr.;4;74918;Angelbachtal-Michelfeld;492.216;878.703
940491c7-e306-4ad8-9661-9932606368c6;Tankhof Götzmann;Freie;An Der Autobahn ;3;68789;St. Leon-Rot;492.609;861.092
d174ecae-5174-414c-875f-6b5cd98fe729;ELAN HIRSCHBERG;ELAN;LANDSTRASSE;7;69493;HIRSCHBERG;49.510.937;8.655.649
e1a15081-2627-9107-e040-0b0a3dfe563c;Schwetzingen\, Zündholzstr. 3;SB;Zündholzstr.;3;68723;Schwetzingen;494.131;85.457
19489a3c-09a5-4c2b-9346-b5f8a292258f;Servicestation;Tankstelle;Heidelberger Straße;46;69256;Mauer;49.342.274;8.796.947
fc23bbb7-a303-4c5c-93a3-def913271bd8;Tankcenter WEINHEIM;Tankcenter;BERGSTR.;13-15;69469;WEINHEIM;49.547.203;8.663.902
